Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000040,In Work,F6790,Mission Support Group,2 CS,,TDY - CS ,"Continuing Cyberspace skills training for Exec Comm, Network Operations, Network  Infrastructure and Transmission systems. These training requirements  include VMware, VoIP, Server Administration, Vulnerability Management, Solar Winds and SharePoint.","Numerous critical processes needed for 2 Comm personnel will be threatened, which will affect Barksdale AFB device users and AFGSC high priority missions.",2,33005F,,011Z,Y,40924,2101101,,3A4200,387700,"75,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000041,In Work,F6790,Wing Staff Agencies,SE,,Bird Bash,"To prevent bird and wildlife aircraft hazards. Covers annual salary for one GS-9 Wildlife Biologist, Travel/Training, Equipment/Supplies, Vehicle Fuels  Maintenance, and Animal Plant  Health Inspection Services (APHIS). This requirement relates to readiness. If we do not have the bird bash we can not keep the runways clear and potential hazards from birds can occur.","If not funded, 2 BW Safety will be unable to protect Air Force assets in support of airfield operations.",0,11113F,,011A,E,75627,2531120,BH,3001D0,387700,"122,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000042,In Work,F6790,Operations Group,JWICS,,Mission TDY,"Intel (Intelligence Flight) consist of 31 individuals , For individuals going TDY and formal training schools and conferences not paid for by AETC .","Without funding, will be unable to keep manning requirements for current qualified individuals up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,27431F,,012C,I,40924,2101101,,331100,387700,"58,400.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000043,In Work,F6790,Maintenance Group,2 MUNS,,Information Technology,"Funds required to replace mission essential computers, printers and peripherals that are broken, out of warranty and not feasible to repair.","For individuals going TDY, training VACE school and conferences.",2,11113F,,011A,E,63730,3106205,,34FIE9,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000044,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,35145F,,042G,E,111RG,11100RG,,30CS10,387700,"122,886.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000045,In Work,F6790,Basewide,Basewide,,Motorcycle Safety Course,"Funding for motorcycle training courses for approximately 250 to 400 Barksdale personnel to attend 3 separate training courses on motorcycle operation and safety; the Basic Rider Course, the Advanced Rider Course and the Rider Refresher Course.","If not funded, the motorcycle will not obtained training in accordance with AFI 91-207.",,18534F,,011Z,N,559ZZ,252220Z,2X,3001D0,387700,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000046,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,11113F,,011A,E,111RG,11100RG,,3001D0,387700,"2,622,041.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000047,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,11316F,,012A,E,111RG,11100RG,,3A42P2,387700,"296,860.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000048,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,11856F,,011Z,N,111RG,11100RG,,300501,387700,"731,884.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000049,In Work,F6790,Basewide,Drayage,,Dity Moves,Covers authorized moves of household goods for members moving on/off base that is outside of PCS move.,Members will not be reimbursed to move on/offbase unless it is in conjunction with a PCS move,,18534F,,011Z,N,46203,2201103,,3A9050,387700,"159,500.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000050,In Work,F6790,Basewide,Drayage,,Non-Temp Storage,Non temp storage of household goods for authorized members based on the housing guidance.Covers contracted moves for authorized members based on housing guidance,Members will not be allowed to store household goods based on the housing guidance and cost will be deferred to member,,18534F,,011Z,N,55791,2572291,,3A9050,387700,"66,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000051,In Work,F6790,Basewide,Interest Penalties,,Vendor Interest Penalty,Interest paid to vendors due to the result of either DFAS or base caused interest penalty.,Covers all interest penalty paid regardless of OBAN and if not funded we would have to potentially reach out to the OBAN that caused interest to be accrued for reimbursement,,18534F,,011Z,N,75900,4306100,,309000,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000052,In Work,F6790,Basewide,Witness Travel,,Witness Travel,"Associated cost for general/summary court martials under the 2d BW Convening Authority. Covers expert witnesses, travel for attendees and court reporters as needed.",Government would not have the expert witness and court reporters that are needed/required to have a general/summary court martial and be able to prosecute the members under UCMJ.,2,18534F,,011Z,N,55933,2522208,,30019B,387700,"100,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000053,In Work,F6790,Basewide,Drayage,,Local Drayage,Covers contracted moves for authorized members based on housing guidance,Members will not be reimbursed to move on/offbase unless it is in conjunction with a PCS move,2,18534F,,011Z,N,46250,2201104,,3A9050,387700,"154,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000054,In Work,F6790,Tenant Support,AFAA,,AFAA GPC,Office supplies needed to run the Audit Agency,Lack of funding will hinder the day to day work of auditors.  Funding is used to purchase daily supplies for the printer and other office necessities.,2,18534F,,011Z,N,61950,2603312,,K001W0,387700,"3,000.00",,,,,,,10/1/2021,AF 4009 GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000055,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,,11978F,,011R,N,111RG,11100RG,,3A4421,387700,"6,023,821.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000056,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18519F,,011Z,P,111RG,11100RG,,3A45F1,387700,"1,993,998.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000057,In Work,F6790,Medical Group,WRM,,WRM Medical Supplies/Equipment,Covers purchase of equipment and supplies to detect threat agents within Medical Logisitics.,WMD for medical will not be funded,,28036F,,021D,N,604,2602201,,3H5888,387700,"51,500.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000058,In Work,F6790,Basewide,Basewide,,CC Command Section,"Sustains CC Operations and Event Center to include Hoban Hall, Daugherty Center and Buff Event Center.",Hoban Hall and Daugherty center would not be kept in the pristine condition which all of the base uses to include activities such as AFGSC competitions. Covers all of command section daily consumables.,,18534F,,011Z,N,61950,2603312,,300002,387700,"50,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000059,In Work,F6790,Operations Group,2 OG,,Flying Hour - Flyers Gear/Tool/Support Equipment P,"Purchase of consumables made either by GPC/Form 9 that are directly related to aircraft maintenance.  This covers items such as tools and support equipment for continued B-52 repair. Personal Protective Equipment for flying related duties such helmets, masks, headsets, anti exposure suits, and flyer gloves as required by AFI 11-301 Vol 1 Para 2.17 for flying crew to fly, failure to fund will result in severe loss of aircrew training and degradation of ability to perform assigned tasking, gear to protect individuals from harsh winter conditions.","We will not be equipped to perform daily maintenance or modernize our equipment/procedures.  We will lose the ability to repair aircraft, directly affecting the flying hour program and the mission of AFGSC.",,11113F,,011Y,E,61952,2603313,,33FI42,387700,"750,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000060,In Work,F6790,Operations Group,2 OSS,,Fire Extinguisher Inspection/Repair,"Per AFI91-203 Fire Extinguisher inspections are required on an Annual, three and six year requirement.  During these inspections fire extinguishers are found to be in need of servicing, repair or replacement.",Without will not have the capability to provide a safe work environment and not be able to do maintenance,1,11113F,,011A,E,61950,2603312,,331000,387700,"3,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000061,In Work,F6790,Operations Group,2 OG,,Datalink,"New Requirement for 2 BW.  AFMD Report for Flying Operations Weapons and Tactics Functional Account Code 32C2 2.4.2 states the following: 2.4.2.  Tactical Data-Link (TDL) Manager.  AFI 11-261, Tactical Data Link Planning and Operations, directs the wing commander of units with TDL capability to designate a manager to act as the wing POC for network planning and coordination. The most appropriate location for this position to reside is within the W&T flight.",If not funded the new DATALINK area would suffer and not meet the requirements that is required to sustain wing commander required programs.,,11113F,,011A,E,61950,2603312,,331000,387700,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000062,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18520F,,011Z,P,111RG,11100RG,,3A4120,387700,"1,082,904.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000063,In Work,F6790,Tenant Support,ADC,,Daily Operating Consumables,"Supports Area Defense Counsel with office supplies, leased copier and monthly cell phone",ADC office will not have proper supplies to operate the office and provide adequate defense counsel,2,18534F,,011Z,N,61950,2603312,,K00199,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000064,In Work,F6790,Operations Group,FTU,,Mission TDY,For individuals going TDYand formal training  schools and conferences.,"Without funding, will be unable to keep manning requirements for current qualified individuals up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,27597F,,011D,K,40924,2101101,,33FI04,387700,"90,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
